floor_area_m2,storeys,structural_type,wall_material,region,finish_quality,total_blocks,total_cement_bags,total_sand_m3,total_aggregate_m3,total_cost_ghs
332.67,3,commercial_block,compressed_earth_block,Eastern,standard,9551,1631.63,170.776,65.039,243840.09
274.42,4,commercial_block,sandcrete_block,Eastern,standard,10018,1738.5,182.042,74.939,268274.61
122.76,1,commercial_block,clay_brick,Western,standard,1024,184.4,19.323,8.946,32424.93
592.51,1,warehouse,compressed_earth_block,Northern,standard,4830,892.54,93.578,46.767,126217.9
294.42,3,commercial_block,clay_brick,Ashanti,standard,7029,1273.39,133.478,64.648,208313.24
532.35,3,storey_building,compressed_earth_block,Northern,standard,11654,2169.23,227.502,118.645,303377.5
474.99,4,bungalow,sandcrete_block,Northern,standard,13534,2434.97,255.191,120.438,333552.43
515.67,1,bungalow,compressed_earth_block,Eastern,premium,4672,821.4,86.033,36.974,152165.18
516.63,2,bungalow,compressed_earth_block,Eastern,standard,9479,1631.33,170.79,68.226,227523.28
63.72,1,commercial_block,clay_brick,Eastern,standard,465,85.35,8.948,4.407,14120.08
360.55,2,bungalow,sandcrete_block,Northern,standard,6182,1120.22,117.401,55.392,164408.6
266.26,4,storey_building,sandcrete_block,Greater Accra,standard,8091,1491.71,156.397,78.215,286594.84
268.92,4,bungalow,compressed_earth_block,Central,standard,9089,1640.43,171.942,82.588,255542.68
433.12,3,warehouse,clay_brick,Central,standard,10491,1907.86,199.937,93.59,331709.94
452.56,3,commercial_block,sandcrete_block,Northern,standard,12562,2176.56,227.897,92.758,337847.68
71.12,1,storey_building,clay_brick,Western,standard,629,108.27,11.335,4.509,20325.46
126.02,1,warehouse,compressed_earth_block,Greater Accra,standard,1211,209.18,21.9,8.769,34331.06
257.19,4,warehouse,clay_brick,Greater Accra,standard,7459,1406.43,147.518,78.061,270597.18
509.88,4,commercial_block,clay_brick,Greater Accra,standard,14896,2769.08,290.378,149.12,550148.52
141.32,1,commercial_block,compressed_earth_block,Greater Accra,standard,1223,209.53,21.936,8.713,34178.8
512.41,4,warehouse,clay_brick,Central,standard,14154,2693.92,282.622,153.833,473369.44
310.24,3,commercial_block,compressed_earth_block,Northern,standard,7741,1365.27,143.005,62.008,190181.17
553.71,3,warehouse,clay_brick,Ashanti,standard,11501,2178.21,228.506,123.537,373402.34
44.1,2,storey_building,sandcrete_block,Eastern,standard,782,137.55,14.408,6.254,18840.08
579.4,3,commercial_block,clay_brick,Northern,standard,14028,2548.72,267.124,126.918,378443.1
201.41,4,warehouse,compressed_earth_block,Eastern,standard,5596,1042.81,109.355,56.194,156945.7
587.63,1,storey_building,sandcrete_block,Eastern,standard,5396,955.72,100.119,44.246,136312.82
67.27,2,bungalow,compressed_earth_block,Eastern,standard,1183,212.35,22.25,10.102,30414.04
388.26,1,commercial_block,clay_brick,Greater Accra,standard,2728,507.55,53.223,27.264,97308.84
517.56,3,storey_building,compressed_earth_block,Northern,standard,12259,2217.74,232.437,110.518,320448.58
231.48,2,warehouse,clay_brick,Eastern,premium,3697,673.5,70.602,34.563,141966.88
552.57,1,storey_building,clay_brick,Greater Accra,standard,4181,756.74,79.312,37.71,162363.36
275.41,4,commercial_block,compressed_earth_block,Eastern,standard,9803,1703.49,178.35,71.63,243787.35
455.7,1,warehouse,clay_brick,Central,standard,3571,671.55,70.44,37.501,118109.42
478.94,3,storey_building,compressed_earth_block,Western,premium,12838,2254.95,236.171,100.749,454778.02
97.06,2,warehouse,sandcrete_block,Northern,standard,1278,240.65,25.24,13.283,31523.75
76.7,4,storey_building,sandcrete_block,Central,standard,2233,419.23,43.975,23.479,64694.79
209.16,2,storey_building,sandcrete_block,Western,standard,3863,674.04,70.59,29.738,101779.1
281.54,3,commercial_block,clay_brick,Northern,standard,6243,1140.72,119.565,57.446,182873.15
561.02,2,bungalow,clay_brick,Western,standard,7883,1480.34,155.269,82.134,270668.05
57.52,1,bungalow,compressed_earth_block,Central,standard,460,83.9,8.793,4.166,13959.78
131.14,4,commercial_block,compressed_earth_block,Northern,standard,4589,829.85,86.981,41.813,111291.59
218.3,3,commercial_block,sandcrete_block,Central,standard,5285,954.09,100.004,48.118,154517.93
132.67,3,warehouse,compressed_earth_block,Eastern,standard,3846,666.24,69.763,28.678,92780.61
136.85,4,warehouse,sandcrete_block,Northern,standard,5337,924.31,96.78,39.439,136413.75
340.27,1,warehouse,sandcrete_block,Ashanti,standard,2647,469.61,49.197,21.873,84882.05
169.52,4,commercial_block,compressed_earth_block,Ashanti,standard,5532,1014.37,106.343,52.592,165379.42
590.71,1,storey_building,compressed_earth_block,Central,standard,4841,865.03,90.631,40.929,129229.54
422.25,2,bungalow,clay_brick,Northern,standard,7813,1344.38,140.753,56.564,192985.25
531.88,3,storey_building,clay_brick,Central,standard,14891,2560.07,268.024,107.113,424552.57
486.93,3,bungalow,sandcrete_block,Ashanti,standard,13752,2454.43,257.157,116.245,425470.68
218.71,2,warehouse,clay_brick,Central,standard,4046,717.98,75.213,33.212,125355.92
113.42,2,bungalow,sandcrete_block,Eastern,standard,1645,305.67,32.051,16.275,46104.38
153.17,4,bungalow,clay_brick,Central,standard,4193,799.69,83.902,46.03,124857.6
101.99,1,storey_building,sandcrete_block,Ashanti,premium,977,166.98,17.48,6.854,33889.93
117.16,4,storey_building,sandcrete_block,Central,standard,3930,700.86,73.426,32.917,110834.5
517.08,2,warehouse,clay_brick,Eastern,standard,8254,1495.56,156.736,73.801,241878.04
107.57,1,commercial_block,compressed_earth_block,Greater Accra,standard,818,150.61,15.792,8.003,28459.89
516.75,3,commercial_block,compressed_earth_block,Western,standard,11904,2146.95,225.0,105.811,325219.09
329.89,2,storey_building,clay_brick,Central,standard,4845,902.28,94.621,48.782,168377.53
131.6,2,warehouse,compressed_earth_block,Ashanti,standard,1935,362.14,37.982,19.959,63202.68
264.25,3,warehouse,clay_brick,Ashanti,premium,6671,1206.47,126.426,58.626,261841.32
68.06,4,storey_building,sandcrete_block,Eastern,standard,2579,448.23,46.941,19.755,69421.72
41.29,3,commercial_block,sandcrete_block,Ashanti,standard,914,168.31,17.647,8.862,29983.31
218.73,2,warehouse,compressed_earth_block,Western,standard,3607,634.63,66.471,28.604,102170.81
513.76,3,bungalow,compressed_earth_block,Western,premium,13601,2457.16,257.507,120.823,510187.89
265.76,4,warehouse,sandcrete_block,Eastern,standard,8538,1527.45,160.047,73.189,245682.46
110.45,4,bungalow,sandcrete_block,Eastern,standard,2984,577.3,60.588,34.563,83111.43
178.14,4,warehouse,sandcrete_block,Greater Accra,standard,5534,1013.02,106.197,52.277,197498.82
432.78,4,commercial_block,clay_brick,Central,standard,14174,2547.63,266.999,126.157,450389.7
264.03,3,commercial_block,compressed_earth_block,Central,standard,7163,1279.72,134.076,60.364,196048.42
227.1,4,bungalow,clay_brick,Northern,premium,8202,1447.04,151.555,64.605,320606.92
295.61,3,bungalow,clay_brick,Central,standard,7439,1357.93,142.346,69.423,247359.42
133.91,2,bungalow,sandcrete_block,Western,premium,1953,355.41,37.253,17.994,67203.34
147.85,4,bungalow,sandcrete_block,Western,standard,5599,975.75,102.175,42.195,160107.47
535.52,1,warehouse,clay_brick,Greater Accra,premium,4246,772.03,80.916,38.577,196796.8
595.54,1,commercial_block,sandcrete_block,Central,standard,5939,1035.91,108.488,45.787,171307.15
416.47,4,storey_building,sandcrete_block,Eastern,premium,13748,2514.58,263.623,130.647,463189.45
540.1,2,bungalow,clay_brick,Northern,standard,8679,1583.38,165.964,79.875,241039.68
473.79,1,bungalow,clay_brick,Central,premium,3246,604.82,63.42,32.283,125713.74
91.94,2,storey_building,clay_brick,Eastern,standard,1526,279.23,29.275,14.605,42057.61
156.69,3,commercial_block,compressed_earth_block,Greater Accra,standard,3645,665.1,69.722,34.219,121180.74
405.98,1,storey_building,compressed_earth_block,Western,premium,3612,629.97,65.965,27.149,120429.62
451.45,1,warehouse,compressed_earth_block,Central,premium,3168,580.1,60.819,30.263,110519.54
274.45,2,commercial_block,sandcrete_block,Eastern,standard,4325,770.37,80.713,36.389,115258.22
77.0,2,bungalow,sandcrete_block,Ashanti,premium,1133,214.42,22.493,12.108,45804.69
73.31,2,bungalow,clay_brick,Central,standard,1059,192.95,20.224,9.719,33932.79
115.43,3,commercial_block,sandcrete_block,Ashanti,standard,2786,508.64,53.322,26.259,87069.09
560.61,3,bungalow,compressed_earth_block,Greater Accra,standard,12568,2310.47,242.235,120.77,424019.38
598.14,2,bungalow,sandcrete_block,Western,standard,10196,1801.47,188.716,83.292,277983.54
316.46,2,commercial_block,compressed_earth_block,Western,standard,4756,881.72,92.458,47.26,146864.35
370.03,3,storey_building,compressed_earth_block,Western,standard,9846,1740.19,182.277,79.103,283293.52
358.04,2,storey_building,sandcrete_block,Central,standard,5632,1047.72,109.876,56.94,177641.55
257.89,4,bungalow,compressed_earth_block,Central,premium,9497,1679.83,175.966,77.171,344381.16
569.49,4,storey_building,sandcrete_block,Northern,standard,16987,3130.3,328.244,167.593,492103.56
517.2,1,storey_building,sandcrete_block,Western,standard,4064,760.17,79.726,41.715,126309.09
129.93,2,commercial_block,sandcrete_block,Western,standard,2444,420.3,44.001,17.41,68896.05
249.7,1,bungalow,clay_brick,Eastern,standard,2280,406.42,42.583,19.308,66733.73
106.3,4,commercial_block,sandcrete_block,Northern,standard,3953,693.34,72.621,31.306,108387.56
131.5,3,warehouse,sandcrete_block,Western,standard,3246,570.57,59.761,25.696,96946.27
232.72,1,bungalow,clay_brick,Northern,standard,2223,391.54,41.007,17.417,61188.05
280.25,1,storey_building,clay_brick,Greater Accra,standard,2666,460.79,48.242,19.292,92538.88
65.26,2,commercial_block,compressed_earth_block,Northern,standard,1225,212.47,22.248,9.186,29049.28
262.45,4,storey_building,compressed_earth_block,Greater Accra,premium,7985,1439.37,150.84,70.475,342553.28
436.39,3,commercial_block,sandcrete_block,Northern,premium,9743,1806.72,189.462,97.406,339735.31
584.21,2,warehouse,compressed_earth_block,Western,standard,9246,1704.02,178.673,90.429,271251.1
289.8,1,commercial_block,compressed_earth_block,Central,standard,2333,422.89,44.33,21.62,66670.64
587.23,1,bungalow,clay_brick,Greater Accra,standard,4449,818.68,85.834,42.93,165593.0
153.05,3,commercial_block,compressed_earth_block,Central,premium,3586,674.67,70.765,37.48,135890.6
251.85,2,commercial_block,sandcrete_block,Central,standard,4317,779.14,81.649,38.061,129398.02
134.57,3,commercial_block,compressed_earth_block,Ashanti,standard,3369,597.33,62.584,28.3,91613.84
307.65,4,storey_building,compressed_earth_block,Greater Accra,standard,10783,1971.53,206.67,100.968,348681.29
306.31,3,bungalow,compressed_earth_block,Eastern,standard,7338,1372.4,143.936,75.293,222593.09
411.02,4,warehouse,compressed_earth_block,Northern,standard,14905,2575.33,269.643,109.236,333506.04
457.31,2,bungalow,clay_brick,Ashanti,standard,8301,1498.51,157.048,74.135,271380.64
150.69,2,storey_building,sandcrete_block,Central,premium,2597,467.16,48.955,22.843,95518.91
193.12,1,storey_building,clay_brick,Greater Accra,standard,1337,252.16,26.451,14.174,52865.16
291.01,2,commercial_block,sandcrete_block,Ashanti,standard,4901,849.88,88.992,36.608,160668.35
192.77,2,bungalow,sandcrete_block,Western,standard,2902,528.64,55.409,26.568,85444.67
525.62,3,commercial_block,clay_brick,Central,premium,14834,2620.0,274.47,121.697,504541.52
316.82,2,storey_building,clay_brick,Central,standard,4465,842.79,88.411,47.672,138691.75
528.83,1,commercial_block,sandcrete_block,Ashanti,standard,4536,787.74,82.487,34.008,139115.65
135.09,1,bungalow,compressed_earth_block,Greater Accra,premium,1198,210.56,22.051,9.301,48822.98
188.24,4,commercial_block,compressed_earth_block,Greater Accra,standard,5652,1021.91,107.097,50.428,189891.89
282.21,3,storey_building,compressed_earth_block,Eastern,premium,7446,1325.58,138.86,61.065,217379.35
61.64,1,bungalow,compressed_earth_block,Central,premium,464,82.85,8.679,3.814,14978.07
269.63,2,storey_building,compressed_earth_block,Northern,standard,5188,905.0,94.772,39.574,136290.57
448.7,1,commercial_block,compressed_earth_block,Greater Accra,standard,3510,641.12,67.214,33.291,114075.73
489.52,3,storey_building,clay_brick,Ashanti,standard,14058,2522.95,264.403,124.226,474075.76
59.67,1,bungalow,compressed_earth_block,Central,premium,574,96.98,10.148,3.692,18664.58
525.76,3,storey_building,sandcrete_block,Central,premium,14662,2508.24,262.549,101.536,502228.64
335.38,4,warehouse,sandcrete_block,Eastern,standard,9308,1751.82,183.741,96.898,290121.44
261.26,4,commercial_block,compressed_earth_block,Northern,standard,9178,1593.53,166.855,68.167,202643.87
444.23,4,commercial_block,sandcrete_block,Northern,standard,15272,2685.65,281.317,122.593,396445.16
199.07,3,commercial_block,clay_brick,Western,premium,4663,830.01,86.955,38.832,185644.82
504.57,4,bungalow,clay_brick,Ashanti,standard,16188,2957.67,310.036,150.899,552869.06
262.0,2,commercial_block,compressed_earth_block,Greater Accra,standard,4799,830.58,86.959,34.901,144399.13
177.59,4,bungalow,clay_brick,Greater Accra,premium,5638,1035.18,108.499,51.873,255019.76
398.65,2,bungalow,sandcrete_block,Northern,premium,6618,1173.27,122.903,53.917,209918.35
226.01,4,bungalow,sandcrete_block,Ashanti,standard,6774,1261.88,132.348,69.494,208278.34
364.93,1,commercial_block,sandcrete_block,Central,premium,2941,529.61,55.494,25.461,99084.56
135.04,2,commercial_block,compressed_earth_block,Ashanti,standard,2414,430.0,45.05,20.229,68210.49
468.41,1,storey_building,compressed_earth_block,Ashanti,standard,3567,664.84,69.72,35.95,118651.46
381.79,1,warehouse,compressed_earth_block,Greater Accra,standard,3210,567.79,59.473,25.754,95196.19
164.53,2,storey_building,compressed_earth_block,Eastern,standard,2768,487.75,51.086,21.85,75921.01
559.66,4,storey_building,compressed_earth_block,Central,standard,16247,2893.18,303.135,137.621,456743.15
302.26,4,commercial_block,clay_brick,Western,standard,8891,1645.69,172.573,88.481,262975.18
58.0,1,warehouse,compressed_earth_block,Greater Accra,premium,503,88.87,9.31,4.1,19954.89
169.18,1,commercial_block,compressed_earth_block,Central,premium,1542,273.03,28.599,12.381,52353.3
366.17,4,commercial_block,sandcrete_block,Northern,standard,13915,2457.83,257.468,113.187,346764.34
209.79,4,storey_building,sandcrete_block,Northern,premium,7600,1319.58,138.169,56.37,249814.28
323.08,3,warehouse,clay_brick,Western,standard,7552,1389.78,145.719,73.466,228690.89
167.61,1,commercial_block,compressed_earth_block,Central,standard,1275,232.37,24.358,11.851,36415.64
365.77,4,bungalow,sandcrete_block,Northern,standard,11355,2121.64,222.486,114.269,318633.05
46.17,3,bungalow,clay_brick,Northern,standard,1016,186.02,19.501,9.604,27888.78
316.68,3,storey_building,compressed_earth_block,Western,standard,7017,1282.2,134.422,66.527,180406.72
400.65,1,warehouse,clay_brick,Eastern,premium,2838,519.05,54.415,26.879,107057.77
165.21,3,storey_building,sandcrete_block,Western,standard,4775,833.94,87.339,36.976,140859.71
573.08,3,bungalow,compressed_earth_block,Eastern,premium,16427,2864.42,300.002,127.884,559996.08
384.25,2,storey_building,clay_brick,Central,standard,5674,1016.5,106.513,48.953,174700.19
214.84,4,commercial_block,sandcrete_block,Eastern,standard,6510,1180.44,123.717,58.669,171708.46
521.35,3,storey_building,sandcrete_block,Northern,standard,14659,2514.7,263.262,104.316,363222.0
89.51,3,warehouse,compressed_earth_block,Western,standard,2424,416.57,43.61,17.273,65177.3
511.93,1,storey_building,compressed_earth_block,Northern,standard,4643,815.37,85.395,36.26,109674.0
66.53,3,storey_building,clay_brick,Greater Accra,standard,1655,298.31,31.259,14.46,56228.22
404.75,4,bungalow,clay_brick,Greater Accra,standard,12661,2307.34,241.853,116.784,448236.5
52.23,3,warehouse,compressed_earth_block,Western,standard,1420,250.88,26.279,11.438,39140.79
199.49,4,commercial_block,clay_brick,Central,premium,5671,1063.51,111.548,58.95,213241.93
593.08,1,bungalow,sandcrete_block,Western,premium,5107,913.63,95.739,44.39,202572.05
188.85,4,warehouse,sandcrete_block,Greater Accra,standard,6098,1105.1,115.82,54.814,194751.62
291.02,1,storey_building,clay_brick,Northern,standard,2719,479.77,50.253,21.783,76305.45
152.1,3,warehouse,clay_brick,Ashanti,standard,3671,679.39,71.245,36.632,116998.89
517.47,1,warehouse,sandcrete_block,Ashanti,premium,3512,678.98,71.248,39.849,149622.66
491.89,4,commercial_block,sandcrete_block,Central,standard,19858,3417.92,357.85,143.983,539758.99
139.63,2,warehouse,clay_brick,Greater Accra,premium,1892,346.66,36.339,17.721,87826.49
148.05,4,storey_building,clay_brick,Western,standard,4322,785.41,82.324,39.686,145249.51
559.97,1,warehouse,compressed_earth_block,Central,standard,5098,897.9,94.048,40.637,137311.72
491.58,4,storey_building,sandcrete_block,Northern,standard,16844,2986.99,312.87,135.512,433735.44
487.56,4,warehouse,clay_brick,Northern,standard,15905,2899.25,303.915,148.096,470390.38
278.06,1,commercial_block,sandcrete_block,Ashanti,premium,2213,395.98,41.492,19.048,85199.82
125.01,4,storey_building,clay_brick,Central,standard,4120,733.01,76.806,35.186,121463.99
119.58,4,warehouse,clay_brick,Ashanti,premium,3639,693.21,72.732,40.026,154435.03
72.96,2,warehouse,sandcrete_block,Eastern,standard,1139,204.17,21.395,9.972,32228.81
144.15,2,storey_building,sandcrete_block,Central,standard,2070,393.26,41.256,22.377,65466.3
89.15,4,bungalow,clay_brick,Northern,premium,2699,493.34,51.715,25.212,99232.28
181.85,2,warehouse,clay_brick,Greater Accra,standard,2867,505.99,53.004,23.26,93430.63
530.71,2,bungalow,compressed_earth_block,Ashanti,standard,7955,1444.42,151.385,71.841,238499.14
150.3,3,storey_building,sandcrete_block,Central,standard,3744,673.47,70.571,32.641,114152.1
332.31,1,commercial_block,compressed_earth_block,Eastern,standard,3032,541.48,56.734,25.781,76611.91
110.88,3,commercial_block,sandcrete_block,Central,standard,2811,502.99,52.703,24.073,76435.41
60.4,1,warehouse,compressed_earth_block,Ashanti,premium,471,84.57,8.86,4.013,16460.04
92.41,2,commercial_block,compressed_earth_block,Eastern,standard,1726,297.57,31.15,12.194,44771.42
62.13,1,warehouse,clay_brick,Greater Accra,standard,584,102.55,10.741,4.655,21823.83
221.8,4,warehouse,clay_brick,Western,standard,8250,1449.3,151.787,64.408,260613.06
200.98,2,bungalow,sandcrete_block,Eastern,standard,2727,521.41,54.705,30.038,82195.65
592.18,2,bungalow,sandcrete_block,Ashanti,standard,9885,1800.72,188.746,90.927,317755.2
426.27,1,commercial_block,compressed_earth_block,Western,standard,3295,609.29,63.894,32.906,101071.32
77.18,4,commercial_block,compressed_earth_block,Northern,standard,2169,388.12,40.667,18.544,55382.81
485.49,4,storey_building,sandcrete_block,Central,premium,17899,3190.61,334.292,151.306,657210.26
423.72,4,storey_building,compressed_earth_block,Western,standard,14392,2600.9,272.605,130.38,357713.35
123.97,4,commercial_block,sandcrete_block,Central,standard,4397,782.05,81.926,36.261,122476.76
466.86,1,commercial_block,sandcrete_block,Greater Accra,standard,4008,693.72,72.635,29.47,135801.86
595.1,4,storey_building,clay_brick,Ashanti,standard,20752,3676.12,385.113,171.005,638624.13
178.47,3,warehouse,compressed_earth_block,Ashanti,standard,4551,810.76,84.936,37.735,149051.26
100.08,2,bungalow,compressed_earth_block,Central,standard,1447,268.66,28.171,14.312,40454.61
446.39,1,bungalow,sandcrete_block,Eastern,standard,4127,708.26,74.145,29.184,113771.84
575.9,1,warehouse,sandcrete_block,Central,standard,5592,950.31,99.457,37.335,145293.12
360.08,1,bungalow,clay_brick,Western,standard,3196,565.58,59.251,26.363,95206.28
96.67,1,storey_building,compressed_earth_block,Central,premium,732,130.11,13.634,6.249,26229.64
372.34,4,warehouse,sandcrete_block,Western,standard,12896,2340.99,245.362,117.205,386510.83
148.09,1,storey_building,compressed_earth_block,Northern,standard,1120,201.73,21.143,10.011,27991.23
489.51,3,bungalow,compressed_earth_block,Central,premium,10357,1937.74,203.226,106.18,353916.05
158.58,3,commercial_block,compressed_earth_block,Western,standard,4636,796.3,83.365,33.153,126653.16
564.76,1,warehouse,compressed_earth_block,Central,standard,3866,714.69,74.933,37.59,108649.68
166.95,4,warehouse,compressed_earth_block,Ashanti,standard,5314,955.71,100.153,46.752,159003.67
545.39,4,commercial_block,sandcrete_block,Central,standard,19181,3472.37,363.947,174.193,565506.85
251.28,2,bungalow,compressed_earth_block,Central,standard,3934,723.18,75.822,37.954,115112.62
204.62,3,warehouse,sandcrete_block,Western,standard,4860,887.13,92.998,45.664,153312.15
57.36,4,warehouse,clay_brick,Eastern,standard,1937,344.69,36.108,15.923,58113.76
597.51,2,bungalow,clay_brick,Central,premium,9486,1726.56,180.941,84.93,367138.46
508.27,2,bungalow,compressed_earth_block,Ashanti,standard,7777,1449.58,152.012,78.234,241191.95
540.15,4,warehouse,compressed_earth_block,Greater Accra,standard,15796,2947.84,309.163,161.456,542267.85
413.74,3,storey_building,compressed_earth_block,Eastern,standard,10082,1832.94,192.116,92.048,270206.09
498.79,3,storey_building,sandcrete_block,Eastern,standard,11634,2159.83,226.505,117.37,339005.34
577.37,2,bungalow,clay_brick,Northern,standard,9135,1682.35,176.347,85.483,274125.49
318.08,4,commercial_block,clay_brick,Central,standard,10896,1967.3,206.204,99.149,356121.6
465.59,4,warehouse,sandcrete_block,Northern,standard,16601,2950.64,309.137,139.112,482795.39
275.29,1,commercial_block,clay_brick,Eastern,standard,2111,392.52,41.161,21.056,70210.14
262.07,4,storey_building,clay_brick,Ashanti,standard,9947,1698.77,177.828,69.449,326607.37
290.47,2,storey_building,clay_brick,Western,standard,4663,862.98,90.49,45.988,146669.13
518.04,2,bungalow,sandcrete_block,Central,standard,7668,1415.82,148.444,74.408,216956.51
253.53,1,commercial_block,sandcrete_block,Northern,premium,2314,405.84,42.504,18.02,72556.68
338.33,1,storey_building,compressed_earth_block,Eastern,standard,3316,568.73,59.54,23.609,93681.17
178.46,2,bungalow,compressed_earth_block,Greater Accra,premium,2871,521.15,54.622,26.112,115834.31
492.17,2,storey_building,compressed_earth_block,Western,standard,8854,1552.43,162.59,69.174,240722.18
207.31,1,warehouse,sandcrete_block,Western,standard,1562,293.24,30.758,16.328,44063.93
512.87,3,bungalow,sandcrete_block,Eastern,standard,11502,2060.95,215.952,99.105,341980.62
445.45,3,commercial_block,sandcrete_block,Greater Accra,premium,12794,2233.98,233.964,99.076,536522.5
554.7,3,bungalow,clay_brick,Ashanti,standard,13418,2427.99,254.496,122.693,455803.17
487.73,1,commercial_block,sandcrete_block,Greater Accra,premium,4258,756.3,79.233,35.359,187559.73
97.86,1,warehouse,sandcrete_block,Western,standard,845,148.56,15.56,6.663,26566.37
82.08,2,warehouse,sandcrete_block,Northern,premium,1387,244.99,25.662,11.15,50697.62
315.78,3,bungalow,clay_brick,Central,standard,7567,1386.83,145.398,72.489,237325.52
529.01,1,warehouse,clay_brick,Greater Accra,standard,4176,744.64,78.019,35.352,153090.39
420.32,3,bungalow,compressed_earth_block,Northern,premium,10049,1800.92,188.711,87.009,343320.1
292.68,3,storey_building,sandcrete_block,Eastern,standard,7507,1387.17,145.444,73.213,211776.24
282.48,3,storey_building,compressed_earth_block,Ashanti,standard,6532,1192.68,125.03,61.361,195170.75
281.54,2,commercial_block,clay_brick,Ashanti,premium,5093,902.5,94.55,42.185,205706.2
217.92,3,bungalow,clay_brick,Western,standard,5337,967.54,101.393,47.379,153602.33
51.35,2,bungalow,compressed_earth_block,Greater Accra,standard,803,146.24,15.329,7.397,24330.35
347.82,2,storey_building,clay_brick,Central,standard,6353,1118.85,117.184,50.113,210291.1
385.89,3,warehouse,clay_brick,Northern,standard,8451,1577.92,165.48,85.819,256747.25
123.57,2,commercial_block,clay_brick,Western,standard,1834,333.09,34.917,17.084,57019.62
338.7,1,warehouse,sandcrete_block,Western,standard,3138,545.12,57.076,23.184,88840.65
130.19,1,warehouse,clay_brick,Greater Accra,standard,1207,206.85,21.657,8.763,42969.9
355.36,3,commercial_block,compressed_earth_block,Eastern,standard,7323,1378.58,144.608,77.296,191959.29
496.33,4,bungalow,clay_brick,Ashanti,standard,18462,3226.43,337.901,142.927,610868.18
122.85,2,commercial_block,compressed_earth_block,Central,standard,1715,317.21,33.263,16.988,51069.74
184.0,4,warehouse,clay_brick,Ashanti,standard,5360,987.92,103.576,51.693,192840.86
323.21,2,commercial_block,sandcrete_block,Central,standard,5671,1016.92,106.536,47.54,175966.88
